fitsfile,OBJECT,RA,DEC
ADP_2016-12-01T16_07_11_967.fits,15281153-5045171,232.048041666663,-50.7547499999991
ADP_2016-12-01T16_07_12_012.fits,15282376-5041422,232.098999999996,-50.6950555555547
ADP_2016-12-01T16_07_11_876.fits,15274355-5043102,231.931458333329,-50.7194999999992
ADP_2016-12-01T16_07_11_927.fits,15280702-5040325,232.029249999996,-50.6756944444436
ADP_2016-12-01T16_07_12_045.fits,15283059-5043177,232.127374999996,-50.7215555555547
ADP_2016-12-01T16_07_11_987.fits,15281416-5042107,232.058999999996,-50.7029722222214
ADP_2016-12-01T16_07_12_001.fits,15281720-5040210,232.071666666663,-50.6724999999991
ADP_2016-12-01T16_07_12_037.fits,15282894-5037295,232.120541666663,-50.6248333333325
ADP_2016-12-01T16_07_11_951.fits,15281018-5037346,232.042416666663,-50.6262777777769
ADP_2016-12-01T16_07_11_923.fits,15280614-5042020,232.025583333329,-50.7005555555547
ADP_2016-12-01T16_07_11_889.fits,15274901-5043580,231.954208333329,-50.7327777777769
ADP_2016-12-01T16_07_11_912.fits,15275246-5037111,231.968624999996,-50.6197499999991
ADP_2016-12-01T16_07_11_975.fits,15281347-5044560,232.056124999996,-50.748888888888
ADP_2016-12-01T16_07_11_911.fits,15280547-5039271,232.022791666663,-50.6575277777769
ADP_2016-12-01T16_07_11_861.fits,15273109-5039219,231.879541666663,-50.6560833333325
ADP_2016-12-01T16_07_11_952.fits,15275628-5042335,231.984499999996,-50.7093055555547
ADP_2016-12-01T16_07_12_000.fits,15282091-5041078,232.087124999996,-50.6854999999991
ADP_2016-12-01T16_07_12_016.fits,15282459-5041259,232.102458333329,-50.6905277777769
ADP_2016-12-01T16_07_11_904.fits,15275138-5041348,231.964083333329,-50.6929999999991
ADP_2016-12-01T16_07_11_935.fits,15280763-5041516,232.031791666663,-50.6976666666658
ADP_2016-12-01T16_07_11_971.fits,15281344-5041036,232.055999999996,-50.6843333333325
ADP_2016-12-01T16_07_11_936.fits,15275513-5040309,231.979708333329,-50.6752499999992
ADP_2016-12-01T16_07_11_960.fits,15275703-5040452,231.987624999996,-50.6792222222214
ADP_2016-12-01T16_07_11_907.fits,15280528-5040109,232.021999999996,-50.6696944444436
ADP_2016-12-01T16_07_12_013.fits,15281927-5041028,232.080291666663,-50.6841111111103
ADP_2016-12-01T16_07_12_004.fits,15282165-5042471,232.090208333329,-50.7130833333325
ADP_2016-12-01T16_07_11_920.fits,15275335-5038341,231.972291666663,-50.6428055555547
ADP_2016-12-01T16_07_11_939.fits,15280789-5037501,232.032874999996,-50.6305555555547
ADP_2016-12-01T16_07_11_928.fits,15275395-5039484,231.974791666663,-50.6634444444436
ADP_2016-12-01T16_07_11_892.fits,15274982-5045114,231.957624999996,-50.7531666666658
ADP_2016-12-01T16_07_11_931.fits,15280735-5041049,232.030624999996,-50.6846944444436
ADP_2016-12-01T16_07_11_885.fits,15274513-5038526,231.938041666663,-50.6479444444436
ADP_2016-12-01T16_07_11_869.fits,15273790-5043163,231.907916666663,-50.7211944444436
ADP_2016-12-01T16_07_12_005.fits,15281754-5041246,232.073083333329,-50.690138888888
ADP_2016-12-01T16_07_11_932.fits,15275409-5042575,231.975374999996,-50.7159722222214
